writer,source,destination,date
"Meulen, Andries van der",Antwerp,Delft,1585-01-03
"Meulen, Andries van der",Antwerp,Haarlem,1585-01-09
"Meulen, Andries van der",Antwerp,Haarlem,1585-01-11
"Meulen, Andries van der",Antwerp,Delft,1585-01-12
"Meulen, Andries van der",Antwerp,Haarlem,1585-01-12
"Meulen, Andries van der",Antwerp,Delft,1585-01-17
"Meulen, Andries van der",Antwerp,Delft,1585-01-22
"Meulen, Andries van der",Antwerp,Delft,1585-01-23
"Della Faille, Marten",Antwerp,Haarlem,1585-01-24
"Meulen, Andries van der",Antwerp,Delft,1585-01-28
"Meulen, Andries van der",Antwerp,Delft,1585-01-30
"Meulen, Andries van der",Antwerp,Delft,1585-02-05
"Meulen, Andries van der",Antwerp,Delft,1585-02-07
"Della Faille, Jacques",Haarlem,Delft,1585-02-10
"Meulen, Andries van der",Antwerp,Delft,1585-02-11
"Meulen, Andries van der",Antwerp,Delft,1585-02-16
"Della Faille, Jacques",Haarlem,The Hague,1585-02-20
"Meulen, Andries van der",Antwerp,Delft,1585-02-20
"Della Faille, Jacques",Haarlem,Delft,1585-02-21
"Meulen, Andries van der",Antwerp,Delft,1585-02-22
"Meulen, Andries van der",Antwerp,Delft,1585-02-25
Staten van Brabant,Antwerp,Delft,1585-02-25
"Meulen, Andries van der",Antwerp,Delft,1585-02-26
Staten van Brabant,Antwerp,Delft,1585-02-26
"Meulen, Andries van der",Antwerp,Delft,1585-02-27
"Meulen, Andries van der",Antwerp,Delft,1585-03-02
"Meulen, Andries van der",Antwerp,Delft,1585-03-05
"Meulen, Andries van der",Antwerp,Delft,1585-03-09
"Meulen, Andries van der",Antwerp,Delft,1585-03-11
"Della Faille, Jacques",Haarlem,Delft,1585-03-12
"Meulen, Andries van der",Antwerp,Delft,1585-03-13
"Della Faille, Jacques",Haarlem,Delft,1585-03-14
"Meulen, Andries van der",Antwerp,Delft,1585-03-14
Staten van Brabant,Antwerp,Delft,1585-03-14
"Meulen, Andries van der",Antwerp,Delft,1585-03-15
"Meulen, Andries van der",Antwerp,Delft,1585-03-19
"Della Faille, Jacques",Haarlem,Delft,1585-03-25
"Della Faille, Joris",Dordrecht,Haarlem,1585-03-25
"Meulen, Andries van der",Antwerp,Delft,1585-03-25
"Della Faille, Marten",Antwerp,Haarlem,1585-03-28
"Meulen, Andries van der",Antwerp,Delft,1585-03-28
"Meulen, Andries van der",Antwerp,Delft,1585-03-30
"Meulen, Andries van der",Antwerp,Delft,1585-03-31
"Meulen, Andries van der",Antwerp,Delft,1585-04-06
"Meulen, Andries van der",Antwerp,Delft,1585-04-10
"Eeckeren, Robert van",Haarlem,Delft,1585-04-11
"Meulen, Andries van der",Antwerp,Delft,1585-04-11
"Meulen, Andries van der",Antwerp,Delft,1585-04-19
"Meulen, Andries van der",Antwerp,Delft,1585-04-24
"Anraet, Thomas",Antwerp,Delft,1585-04-27
"Meulen, Andries van der",Antwerp,Delft,1585-04-28
"Meulen, Andries van der",Antwerp,Delft,1585-04-30
"Della Faille, Jacques",Haarlem,Delft,1585-05-01
"Meulen, Andries van der",Antwerp,Middelburg,1585-05-04
"Della Faille, Jacques",Haarlem,Delft,1585-05-08
"Della Faille, Marten",Antwerp,Delft,1585-05-09
"Meulen, Andries van der",Antwerp,Delft,1585-05-09
"Meulen, Andries van der",Antwerp,Delft,1585-05-11
"Della Faille, Jacques",Haarlem,Delft,1585-05-12
"Meulen, Andries van der",Antwerp,Delft,1585-05-17
"Della Faille, Jacques",Haarlem,Delft,1585-05-20
"Della Faille, Marten",Antwerp,Delft,1585-05-28
"Della Faille, Jacques",Haarlem,Delft,1585-05-28
"Meulen, Andries van der",Antwerp,Delft,1585-05-28
"Meulen, Andries van der",Antwerp,Delft,1585-05-28
"Meulen, Andries van der",Antwerp,Delft,1585-05-30
"Meulen, Andries van der",Antwerp,Delft,1585-06-01
"Meulen, Andries van der",Antwerp,Delft,1585-06-04
"Della Faille, Jacques",Haarlem,Middelburg,1585-06-11
Staten van Brabant,Antwerp,The Hague,1585-06-13
"Meulen, Andries van der",Antwerp,Delft,1585-06-14
Burgemeesters of Antwerp,Antwerp,The Hague,1585-06-19
"Meulen, Andries van der",Antwerp,Delft,1585-06-20
"Wale, Jan de",Venice,Haarlem,1585-06-23
"Meulen, Andries van der",Antwerp,Delft,1585-06-29
"Meulen, Andries van der",Antwerp,Delft,1585-07-05
"Meulen, Andries van der",Antwerp,Delft,1585-07-09
"Meulen, Andries van der",Antwerp,Delft,1585-07-12
"Meulen, Andries van der",Antwerp,Delft,1585-07-13
"Meulen, Andries van der",Antwerp,Delft,1585-07-19
"Meulen, Andries van der",Antwerp,Delft,1585-07-25
"Meulen, Andries van der",Antwerp,Delft,1585-07-27
"Della Faille, Jacques",Lisse,Delft,1585-07-29
"Meulen, Andries van der",Antwerp,Delft,1585-07-31
"Meulen, Andries van der",Antwerp,Delft,1585-08-01
"Della Faille, Jacques",Haarlem,Delft,1585-08-02
"Della Faille, Jacques",Haarlem,Delft,1585-08-06
"Calvart, Jacques",Haarlem,Delft,1585-08-06
"Della Faille, Jacques",Haarlem,Delft,1585-08-07
"Meulen, Andries van der",Antwerp,Delft,1585-08-08
"Della Faille, Jacques",Haarlem,Delft,1585-08-09
"Della Faille, Jacques",Haarlem,Delft,1585-08-12
"Meulen, Andries van der",Antwerp,Delft,1585-08-12
"Meulen, Andries van der",Antwerp,Delft,1585-08-16
"Della Faille, Jacques",Haarlem,Delft,1585-08-18
"Della Faille, Jacques",Haarlem,Delft,1585-08-22
"Meulen, Andries van der",Antwerp,Delft,1585-08-22
"Wale, Jan de",Venice,Haarlem,1585-08-30
"Della Faille, Jacques",Haarlem,Delft,1585-09-02
"Della Faille, Jacques",Haarlem,Delft,1585-09-03
"Janssen van der Meulen, Peeter",Antwerp,Delft,1585-09-04
"Della Faille, Jacques",Haarlem,Delft,1585-09-06
"Della Faille, Jacques",Haarlem,Delft,1585-09-07
"Della Faille, Jacques",Haarlem,Delft,1585-09-08
"Della Faille, Jacques",Haarlem,Delft,1585-09-10
"Della Faille, Jacques",Haarlem,Delft,1585-09-14
"Della Faille, Marten",Antwerp,Delft,1585-09-16
"Della Faille, Marten",Antwerp,Delft,1585-09-17
"Della Faille, Jacques",Het Vlie,Bremen,1585-10-21
"Della Faille, Jacques",Hamburg,Bremen,1585-10-30
"Della Faille, Jacques",Emden,Bremen,1585-11-30
"Noirot, Jacques",Haarlem,Bremen,1585-12-16
"Noirot, Jacques",Amsterdam,Bremen,1585-12-20
"Della Faille, Jacques",Haarlem,Bremen,1585-12-27
